name,title
COMP 3010,Distributed Computing
COMP 3020,Human-Computer Interaction 1
COMP 3030,Automata Theory and Formal Languages
COMP 3040,Technical Communication in Computer Science
COMP 3170,Analysis of Algorithms and Data Structures
COMP 3190,Introduction to Artificial Intelligence
COMP 3350,Software Engineering 1
COMP 3370,Computer Organization
COMP 3380,Databases: Concepts and Usage
COMP 3430,Operating Systems
COMP 3490,Computer Graphics 1
COMP 3820,Introduction to Bioinformatics Algorithms
COMP 3980,Workterm 2
